run_id,model,method,task,question_id,signature,corrected_f1,corrected_precision,corrected_recall,predicted_count,ground_truth_count,recovery
full-claude-haiku-4.5-tier3-task10-codeact-x100-r04,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,mixed omissions and extras,0.42857142857142855,0.3333333333333333,0.6,9,5,codeact-historical-transcript
full-claude-haiku-4.5-tier3-task10-codeact-x100-r04,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,exact,1.0,1.0,1.0,5,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x100-r05,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,mixed omissions and extras,0.3636363636363636,0.3333333333333333,0.4,6,5,codeact-historical-transcript
full-claude-haiku-4.5-tier3-task10-codeact-x100-r05,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,mixed omissions and extras,0.42857142857142855,0.3333333333333333,0.6,9,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x100-r05,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-wittig-olefination,exact,1.0,1.0,1.0,1,1,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x100-r05,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,omissions only,0.5714285714285715,1.0,0.4,2,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x100-r05,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,exact,1.0,1.0,1.0,5,5,codeact-historical-transcript
full-claude-haiku-4.5-tier3-task10-codeact-x500-r01,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,mixed omissions and extras,0.48,0.6,0.4,10,15,codeact-historical-transcript
full-claude-haiku-4.5-tier3-task10-codeact-x500-r01,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,mixed omissions and extras,0.6666666666666666,0.5714285714285714,0.8,7,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x500-r01,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-wittig-olefination,exact,1.0,1.0,1.0,5,5,codeact-historical-transcript
full-claude-haiku-4.5-tier3-task10-codeact-x500-r01,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,omissions only,0.888888888888889,1.0,0.8,4,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x500-r01,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,mixed omissions and extras,0.4,0.3,0.6,10,5,codeact-historical-transcript
full-claude-haiku-4.5-tier3-task10-codeact-x500-r02,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,mixed omissions and extras,0.4166666666666667,0.5555555555555556,0.3333333333333333,9,15,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x500-r02,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,mixed omissions and extras,0.11764705882352941,0.08333333333333333,0.2,12,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x500-r02,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-wittig-olefination,extra selections only,0.7692307692307693,0.625,1.0,8,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x500-r02,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,extra selections only,0.30303030303030304,0.17857142857142858,1.0,28,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x500-r02,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,exact,1.0,1.0,1.0,5,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x500-r03,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,mixed omissions and extras,0.28571428571428575,0.25,0.3333333333333333,20,15,codeact-historical-transcript
full-claude-haiku-4.5-tier3-task10-codeact-x500-r03,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,mixed omissions and extras,0.8000000000000002,0.8,0.8,5,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x500-r03,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-wittig-olefination,exact,1.0,1.0,1.0,5,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x500-r03,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,mixed omissions and extras,0.6153846153846154,0.5,0.8,8,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x500-r03,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,omissions only,0.888888888888889,1.0,0.8,4,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x500-r04,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,extra selections only,0.8823529411764706,0.7894736842105263,1.0,19,15,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x500-r04,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,omissions only,0.888888888888889,1.0,0.8,4,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x500-r04,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-wittig-olefination,exact,1.0,1.0,1.0,5,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x500-r04,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,extra selections only,0.4347826086956522,0.2777777777777778,1.0,18,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x500-r04,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,mixed omissions and extras,0.7272727272727272,0.6666666666666666,0.8,6,5,codeact-historical-transcript
full-claude-haiku-4.5-tier3-task10-codeact-x500-r05,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,extra selections only,0.32967032967032966,0.19736842105263158,1.0,76,15,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x500-r05,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,omissions only,0.888888888888889,1.0,0.8,4,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x500-r05,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-wittig-olefination,exact,1.0,1.0,1.0,5,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x500-r05,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,mixed omissions and extras,0.5714285714285714,0.4444444444444444,0.8,9,5,codeact-answer-line
full-claude-haiku-4.5-tier3-task10-codeact-x500-r05,Claude Haiku 4.5,codeact,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,omissions only,0.7499999999999999,1.0,0.6,3,5,codeact-historical-transcript
full-claude-haiku-4.5-tier3-task10-llm-x100-r04,Claude Haiku 4.5,llm,tier3/task10,rxh-t3-task10-wittig-olefination,extra selections only,0.009950248756218907,0.005,1.0,200,1,aggregate-contingency-bounds
full-claude-haiku-4.5-tier3-task10-rlm-x100-r01,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,mixed omissions and extras,0.0,0.0,0.0,13,5,rlm-final-call
full-claude-haiku-4.5-tier3-task10-rlm-x100-r01,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,omissions only,0.5714285714285715,1.0,0.4,2,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x100-r01,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-wittig-olefination,mixed omissions and extras,0.0,0.0,0.0,88,1,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x100-r01,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,mixed omissions and extras,0.5,0.6666666666666666,0.4,3,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x100-r01,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,empty answer,0.0,0.0,0.0,0,5,rlm-final-call
full-claude-haiku-4.5-tier3-task10-rlm-x100-r02,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,mixed omissions and extras,0.5,0.6666666666666666,0.4,3,5,rlm-final-call
full-claude-haiku-4.5-tier3-task10-rlm-x100-r02,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,empty answer,0.0,0.0,0.0,0,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x100-r02,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-wittig-olefination,empty answer,0.0,0.0,0.0,0,1,rlm-final-answer-box-wrapped-historical-answer
full-claude-haiku-4.5-tier3-task10-rlm-x100-r02,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,extra selections only,0.6666666666666666,0.5,1.0,10,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x100-r02,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,empty answer,0.0,0.0,0.0,0,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x100-r03,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,mixed omissions and extras,0.0,0.0,0.0,20,5,rlm-final-call
full-claude-haiku-4.5-tier3-task10-rlm-x100-r03,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,empty answer,0.0,0.0,0.0,0,5,rlm-final-call
full-claude-haiku-4.5-tier3-task10-rlm-x100-r03,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-wittig-olefination,exact,1.0,1.0,1.0,1,1,rlm-final-answer-box-wrapped-historical-answer
full-claude-haiku-4.5-tier3-task10-rlm-x100-r03,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,omissions only,0.888888888888889,1.0,0.8,4,5,rlm-final-call
full-claude-haiku-4.5-tier3-task10-rlm-x100-r03,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,exact,1.0,1.0,1.0,5,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x100-r04,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,extra selections only,0.8333333333333333,0.7142857142857143,1.0,7,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x100-r04,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,exact,1.0,1.0,1.0,5,5,rlm-final-answer-box-wrapped-historical-answer
full-claude-haiku-4.5-tier3-task10-rlm-x100-r04,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-wittig-olefination,exact,1.0,1.0,1.0,1,1,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x100-r04,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,empty answer,0.0,0.0,0.0,0,5,rlm-final-call
full-claude-haiku-4.5-tier3-task10-rlm-x100-r04,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,empty answer,0.0,0.0,0.0,0,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x100-r05,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,mixed omissions and extras,0.0,0.0,0.0,101,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x100-r05,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,exact,1.0,1.0,1.0,5,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x100-r05,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-wittig-olefination,exact,1.0,1.0,1.0,1,1,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x100-r05,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,mixed omissions and extras,0.0,0.0,0.0,1,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x100-r05,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,exact,1.0,1.0,1.0,5,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x500-r01,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,mixed omissions and extras,0.4666666666666667,0.4666666666666667,0.4666666666666667,15,15,rlm-final-call
full-claude-haiku-4.5-tier3-task10-rlm-x500-r01,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,exact,1.0,1.0,1.0,5,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x500-r01,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-wittig-olefination,mixed omissions and extras,0.0,0.0,0.0,1,5,rlm-final-call
full-claude-haiku-4.5-tier3-task10-rlm-x500-r01,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,extra selections only,0.6666666666666666,0.5,1.0,10,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x500-r01,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,empty answer,0.0,0.0,0.0,0,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x500-r02,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,extra selections only,0.6521739130434783,0.4838709677419355,1.0,31,15,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x500-r02,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,empty answer,0.0,0.0,0.0,0,5,rlm-final-call
full-claude-haiku-4.5-tier3-task10-rlm-x500-r02,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-wittig-olefination,empty answer,0.0,0.0,0.0,0,5,rlm-final-call
full-claude-haiku-4.5-tier3-task10-rlm-x500-r02,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,mixed omissions and extras,0.0,0.0,0.0,16,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x500-r02,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,empty answer,0.0,0.0,0.0,0,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x500-r03,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,empty answer,0.0,0.0,0.0,0,15,rlm-final-call
full-claude-haiku-4.5-tier3-task10-rlm-x500-r03,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,extra selections only,0.9090909090909091,0.8333333333333334,1.0,6,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x500-r03,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-wittig-olefination,extra selections only,0.5,0.3333333333333333,1.0,15,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x500-r03,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,mixed omissions and extras,0.0,0.0,0.0,6,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x500-r03,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,empty answer,0.0,0.0,0.0,0,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x500-r04,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,extra selections only,0.7894736842105263,0.6521739130434783,1.0,23,15,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x500-r04,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,extra selections only,0.7692307692307693,0.625,1.0,8,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x500-r04,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-wittig-olefination,extra selections only,0.6666666666666666,0.5,1.0,10,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x500-r04,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,extra selections only,0.23255813953488372,0.13157894736842105,1.0,38,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x500-r04,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,empty answer,0.0,0.0,0.0,0,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x500-r05,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,omissions only,0.23529411764705882,1.0,0.13333333333333333,2,15,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x500-r05,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,omissions only,0.888888888888889,1.0,0.8,4,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x500-r05,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-wittig-olefination,exact,1.0,1.0,1.0,5,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-x500-r05,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,mixed omissions and extras,0.0,0.0,0.0,1,5,rlm-final-call
full-claude-haiku-4.5-tier3-task10-rlm-x500-r05,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,exact,1.0,1.0,1.0,5,5,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-xfull-r01,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,extra selections only,0.843235039028621,0.7289597000937207,1.0,5335,3889,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-xfull-r01,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,mixed omissions and extras,0.8345047923322683,0.7718676122931442,0.9082058414464534,846,719,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-xfull-r01,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-wittig-olefination,mixed omissions and extras,0.0,0.0,0.0,552,45,rlm-final-call
full-claude-haiku-4.5-tier3-task10-rlm-xfull-r01,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,empty answer,0.0,0.0,0.0,0,121,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-xfull-r01,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,extra selections only,0.7901234567901235,0.6530612244897959,1.0,245,160,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-xfull-r02,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,empty answer,0.0,0.0,0.0,0,3889,rlm-final-call
full-claude-haiku-4.5-tier3-task10-rlm-xfull-r02,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,mixed omissions and extras,0.7078059071729957,0.5700934579439252,0.933240611961057,1177,719,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-xfull-r02,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-wittig-olefination,mixed omissions and extras,0.0,0.0,0.0,597,45,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-xfull-r02,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,empty answer,0.0,0.0,0.0,0,121,rlm-final-call
full-claude-haiku-4.5-tier3-task10-rlm-xfull-r02,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,extra selections only,0.851063829787234,0.7407407407407407,1.0,216,160,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-xfull-r03,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,mixed omissions and extras,0.6635890151515151,0.6148278131169116,0.7207508356904089,4559,3889,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-xfull-r03,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,mixed omissions and extras,0.8415094339622642,0.7680826636050516,0.9304589707927677,871,719,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-xfull-r03,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-wittig-olefination,empty answer,0.0,0.0,0.0,0,45,rlm-final-call
full-claude-haiku-4.5-tier3-task10-rlm-xfull-r03,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-knoevenagel-aldol-condensation,mixed omissions and extras,0.03236994219653179,0.01665080875356803,0.5785123966942148,4204,121,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-xfull-r03,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-azide-alkyne-huisgen-cycloaddition,mixed omissions and extras,0.0,0.0,0.0,127,160,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-xfull-r04,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-ester-hydrolysis-deprotection-with-oh,extra selections only,0.29343192364281134,0.17194270050402335,1.0,22618,3889,rlm-final-answer-box-wrapped
full-claude-haiku-4.5-tier3-task10-rlm-xfull-r04,Claude Haiku 4.5,rlm,tier3/task10,rxh-t3-task10-mitsunobu-reaction-family,mixed omissions and extras,0.7733151803948265,0.7573333333333333,0.7899860917941586,750,719,rlm-final-answer-box-wrapped
